t,h_1,h_2,h_3
154,8.36785554123228,11.328751102629301,5.0253534505419095
155,8.38650698146608,11.369715285511699,5.05706769480224
156,8.40495173100057,11.410417469088399,5.08866571003766
157,8.42319220375288,11.450859511651,5.120147723899691
158,8.44123078258652,11.4910432543006,5.15151396759287
159,8.459069819778861,11.530970521179901,5.18276467572718
160,8.47671163747981,11.5706431197019,5.21390008617606
161,8.49415852816213,11.610062840773198,5.24492043993983
162,8.5114127550634,11.6492314590148,5.275825981014241
163,8.528476552619951,11.6881507329769,5.30661695626394
164,8.54535212689281,11.726822405352001,5.33729361530074
165,8.56204165598605,11.765248203182,5.36785621036633
166,8.57854729045747,11.803429838063199,5.39830499621943
167,8.594871153721941,11.8413690063467,5.42864023002708
168,8.61101534244756,11.879067389335699,5.4588621712599
169,8.62698192694473,11.9165266534789,5.488971081591281
170,8.64277295154832,11.9537484505608,5.51896722480021
171,8.6583904349931,11.990734417888401,5.548850866677671
172,8.673836370782599,12.0274861784746,5.57862227493639
173,8.68911272755146,12.0640053412189,5.608281719123959
174,8.704221449421519,12.1002935010841,5.63782947053897
175,8.71916445635168,12.1363522392705,5.667265802150309
176,8.73394364448179,12.1721831233871,5.6965909885191905
177,8.748560886470509,12.2077877076194,5.72580530572414
178,8.7630180318275,12.2431675328951,5.75490903128855
179,8.777316907239861,12.278324127046002,5.78390244411081
180,8.791459316893059,12.3132590049677,5.812785824397019
181,8.80544704278643,12.3479736687768,5.84155945359595
182,8.81928184504333,12.382469607965099,5.87022361433637
183,8.83296546221609,12.416748299551001,5.898778590366581
184,8.84649961158592,12.450811208228801,5.92722466649608
185,8.85988598945773,12.4846597865153,5.95556212853917
186,8.873126271450161,12.5182954748944,5.983791263260669
187,8.8862221127807,12.5517197019581,6.01191235832343
188,8.89917514854625,12.5849338845467,6.0399257022377
189,8.91198699399894,12.617939427885899,6.0678315843122395
190,8.92465924481759,12.6507377257213,6.0956302946070995
191,8.93719347737461,12.683330160451801,6.12332212388808
192,8.94959124899866,12.7157181032595,6.15090736358273
193,8.961854098233061,12.747902914238901,6.17838630573781
194,8.97398354509002,12.779885942523,6.20575924297829
195,8.9859810913008,12.811668526407402,6.233026468467701
196,8.99784822056186,12.843251993473402,6.26018827586984
197,9.009586398777131,12.874637660708,6.28724495931178
198,9.021197074296401,12.9058268346225,6.3141968133481505
199,9.032681678149949,12.9368208113696,6.34104413292661
200,9.044041624279501,12.9676208768578,6.3677872133544895
201,9.055278309765539,12.9982283068646,6.39442635026659
202,9.066393115051062,13.0286443671482,6.42096183959399
203,9.07738740416186,13.0588703135566,6.44739397753397
204,9.08826252492335,13.088907392135802,6.473723060520981
205,9.09901980917413,13.1187568392361,6.49994938519843
206,9.109660572976109,13.148419881616599,6.526073248391611
207,9.12018611682153,13.1778977365483,6.552094947081361
208,9.13059772583675,13.2071916119153,6.57801477837872
209,9.14089666998294,13.2363027063153,6.6038330395003895
210,9.15108420425372,13.265232209157698,6.62955002774497
211,9.161161568869769,13.2939813007604,6.6551660404700606
212,9.17112998947054,13.3225511524458,6.6806813750700496
213,9.18099067730309,13.3509429266345,6.70609632895473
214,9.19074482940797,13.3791577769379,6.73141119952847
215,9.20039362880248,13.407196848250198,6.75662628417025
216,9.20993824466107,13.4350612768376,6.78174188021425
217,9.21937983249312,13.4627521904275,6.80675828493108
218,9.228719534318039,13.4902707082959,6.831675795509679
219,9.23795847883784,13.517617941352999,6.85649470903978
220,9.24709778160708,13.544794992228901,6.881215322494921
221,9.25613854520034,13.5718029553564,6.90583793271608
222,9.265081859377311,13.5986429170541,6.9303628363958
223,9.273928801245368,13.6253159556076,6.954790330062861
224,9.282680435419831,13.6518231413493,6.97912071006743
225,9.29133781418189,13.6781655367376,7.003354272566691
226,9.29990197763424,13.704344196434901,7.0274913135110095
227,9.308373953854439,13.7303601673843,7.05153212863047
228,9.316754759046109,13.7562144888854,7.07547701342189
229,9.32504539768795,13.7819081926686,7.09932626313628
230,9.33324686268056,13.807442302969301,7.12308017276667
231,9.34136013549127,13.832817836600098,7.146739037036361
232,9.349386186296801,13.8580358030227,7.170303150387549
233,9.357325974123949,13.883097204418302,7.19377280697034
234,9.36518044698832,13.908003035757401,7.2171483006321
235,9.37295054203099,13.9327542848685,7.240429924907169
236,9.38063718565338,13.957351932506,7.2636179730069195
237,9.388241293650099,13.981796952417,7.2867127378100705
238,9.39576377134004,14.0060903114071,7.309714511853441
239,9.403205513695552,14.030232969405999,7.332623587322919
240,9.41056740546987,14.0542258795313,7.355440256044741
241,9.41785032132278,14.0780699881522,7.37816480947704
242,9.42505512594446,14.101766234951699,7.400797538701741
243,9.4321826741777,14.125315552988601,7.42333873441665
244,9.43923381113842,14.1487188687585,7.44578868692781
245,9.446209372334462,14.171977102253802,7.46814768614215
246,9.453110183782789,14.195091167023001,7.49041602156037
247,9.45993706212515,14.218061970229302,7.512593982269981
248,9.466690814742039,14.2408904127086,7.534681856938679
249,9.47337223986519,14.2635773890264,7.55667993380792
250,9.47998212668848,14.286123787534402,7.57858850068659
251,9.48652125547744,14.3085304904257,7.600407844945071
252,9.492990397677099,14.3307983737902,7.622138253509361
253,9.49939031601854,14.3529283076686,7.64378001285543
254,9.505721764623981,14.3749211561063,7.6653334090038
255,9.51198548911033,14.396777777205601,7.68679872751424
256,9.51818222669155,14.4184990231786,7.708176253480691
257,9.52431270627944,14.440085740398601,7.729466271526361
258,9.53037764858329,14.4615387694509,7.750669065798941
259,9.53637776620798,14.4828589451833,7.7717849199660005
260,9.54231376375097,14.5040470967556,7.79281411721058
261,9.54818633789789,14.525104047688998,7.813756940226849
262,9.5539961775169,14.546030615914303,7.834613671216
263,9.55974396375182,14.566827613820003,7.85538459188223
264,9.565430370113999,14.5874958482995,7.876069983428851
265,9.57105606257301,14.608036120798099,7.89667012655458
266,9.57662169964608,14.628449227358802,7.91718530144989
267,9.582127932486511,14.6487359586685,7.937615787793581
268,9.58757540497073,14.6688971001026,7.95796186474934
269,9.59296475378439,14.6889334317698,7.9782238109625805
270,9.59829660850726,14.708845728556302,7.99840190455721
271,9.603571591697,14.7286347601689,8.01849642313269
272,9.6087903189719,14.748301291178699,8.038507643761049
273,9.613953399092528,14.767846081062801,8.0584358429841
274,9.61906143404233,14.787269884247198,8.078281296810731
275,9.62411501910716,14.8065734501476,8.09804428071426
276,9.62911474295382,14.825757523211,8.11772506962989
